slug,state,suffix,rating,nyt_rating,repProb
pec,ct,0,NA,1,0.01
pec,dc,0,NA,1,0
pec,de,0,NA,1,0
pec,fl,0,NA,3,0.31
pec,ga,0,NA,6,0.88
pec,hi,0,NA,1,0
pec,ia,0,NA,5,0.74
pec,id,0,NA,7,1
pec,il,0,NA,1,0
pec,in,0,NA,7,1
pec,ks,0,NA,7,1
pec,ky,0,NA,7,1
pec,la,0,NA,7,1
pec,ma,0,NA,1,0
pec,md,0,NA,1,0
pec,me,0,NA,1,0.02
pec,me-1,1,NA,1,0
pec,me-2,2,NA,4,0.4
pec,mi,0,NA,3,0.21
pec,mn,0,NA,1,0.02
pec,mo,0,NA,7,1
pec,ms,0,NA,7,1
pec,mt,0,NA,7,1
pec,nc,0,NA,3,0.33
pec,nd,0,NA,7,1
pec,ne-2,2,NA,6,0.92
pec,ne,0,NA,7,1
pec,ne-1,1,NA,7,1
pec,ne-3,3,NA,7,1
pec,nh,0,NA,4,0.37
pec,nj,0,NA,1,0
pec,nm,0,NA,2,0.09
pec,nv,0,NA,3,0.16
pec,ny,0,NA,1,0
pec,oh,0,NA,4,0.63
pec,ok,0,NA,7,1
pec,or,0,NA,1,0
pec,pa,0,NA,3,0.21
pec,ri,0,NA,1,0
pec,sc,0,NA,7,0.99
pec,sd,0,NA,7,1
pec,tn,0,NA,7,1
pec,tx,0,NA,7,1
pec,us,0,NA,1,0
pec,ut,0,NA,7,1
pec,va,0,NA,1,0.02
pec,vt,0,NA,1,0
pec,wa,0,NA,1,0
pec,wi,0,NA,1,0.02
pec,wv,0,NA,7,1
pec,wy,0,NA,7,1
predictwise,ak,0,NA,7,0.96
predictwise,al,0,NA,7,1
predictwise,ar,0,NA,7,1
predictwise,az,0,NA,5,0.79
predictwise,ca,0,NA,1,0
predictwise,co,0,NA,2,0.06
predictwise,ct,0,NA,1,0
predictwise,dc,0,NA,1,0
predictwise,de,0,NA,1,0
predictwise,fl,0,NA,3,0.24
predictwise,ga,0,NA,6,0.9
predictwise,hi,0,NA,1,0
predictwise,ia,0,NA,5,0.78
predictwise,id,0,NA,7,1
predictwise,il,0,NA,1,0
predictwise,in,0,NA,7,0.99
predictwise,ks,0,NA,7,1
predictwise,ky,0,NA,7,1
predictwise,la,0,NA,7,1
predictwise,ma,0,NA,1,0
predictwise,md,0,NA,1,0
predictwise,me,0,NA,1,0.02
predictwise,me-1,1,NA,1,0.02
predictwise,me-2,2,NA,4,0.52
predictwise,mi,0,NA,2,0.05
predictwise,mn,0,NA,1,0.01
predictwise,mo,0,NA,7,1
predictwise,ms,0,NA,7,1
predictwise,mt,0,NA,6,0.93
predictwise,nc,0,NA,4,0.38
predictwise,nd,0,NA,7,1
predictwise,ne-2,2,NA,5,0.79
predictwise,ne,0,NA,7,1
predictwise,ne-1,1,NA,7,1
predictwise,ne-3,3,NA,7,1
predictwise,nh,0,NA,3,0.15
predictwise,nj,0,NA,1,0
predictwise,nm,0,NA,1,0.02
predictwise,nv,0,NA,2,0.08
predictwise,ny,0,NA,1,0
